alpha,target_ret,port_ret_ann,cvar_ann,sharpe_est,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJAJFINSV.NS,BAJFINANCE.NS,BEL.NS,BHARTIARTL.NS,BPCL.NS,BRITANNIA.NS,CIPLA.NS,COALINDIA.NS,CPSEETF.NS,DIVISLAB.NS,DRREDDY.NS,EICHERMOT.NS,GOLDBEES.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LIQUIDBEES.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
0.01,0.031348562141695256,7.899837659717836,0.9468944782512236,8.44206464665008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.672693,0.0,0.00981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.176989,0.0,0.0,0.0,0.0,0.0,0.0,0.110336,0.0,0.0,0.030173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.032358924683437415,8.154449020303343,0.9775829030615802,8.714151955076003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.694467,0.0,0.010121,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.150354,0.0,0.0,0.0,0.0,0.0,0.0,0.113909,0.0,0.0,0.031149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.033369287225179574,8.40906038078032,1.00827136115959,8.986239263385949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.716242,0.0,0.010432,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.123719,0.0,0.0,0.0,0.0,0.0,0.0,0.117483,0.0,0.0,0.032124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.03437964976692174,8.66367174127107,1.0389598152943496,9.258326571710615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.738016,0.0,0.010743,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.097085,0.0,0.0,0.0,0.0,0.0,0.0,0.121056,0.0,0.0,0.033101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0353900123086639,8.918283101895604,1.069648230240468,9.530413880178244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.759791,0.0,0.011054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07045,0.0,0.0,0.0,0.0,0.0,0.0,0.124629,0.0,0.0,0.034077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.03640037485040606,9.172894462306045,1.1003367068578727,9.802501188417088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.781565,0.0,0.011365,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.043815,0.0,0.0,0.0,0.0,0.0,0.0,0.128202,0.0,0.0,0.035053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.03741073739214822,9.427505822826555,1.1310251517082721,10.074588496773554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.80334,0.0,0.011676,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.017181,0.0,0.0,0.0,0.0,0.0,0.0,0.131775,0.0,0.0,0.036029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.03842109993389038,9.682117183380058,1.1618958190580653,10.346675805165278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.825245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.158088,0.0,0.0,0.016667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.03943146247563254,9.936728543937908,1.1936580445166611,10.618763113561648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.847402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.152598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.05,2.732334768826084e-05,0.033945663417231056,0.00019210176779322168,0.03627561696652953,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999994,0.0,1e-06,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,0.0,0.0
